Id,Holding,LongQty
39,6400,6400
100,29200,29200
157,19400,19400
503,18600,18600
725,38200,38200
768,2000,2000
830,13900,13900
2007,1000,1000
2044,12600,12600
2074,1000,1000
2153,1000,1000
2202,1000,1000
2214,6200,6200
2271,2000,2000
2340,9100,9100
2353,7000,7000
2382,1000,1000
2408,12100,12100
2460,200,200
2466,4200,4200
2739,5400,5400
300037,2400,2400
300072,5600,5600
300122,1600,1600
300124,1000,1000
300251,100,100
300274,4004,4004
300296,26600,26600
300502,3400,3400
300558,1700,1700
300601,1200,1200
300666,1000,1000
600004,13200,13200
600066,10600,10600
600176,1000,1000
600196,1600,1600
600362,1300,1300
600486,1600,1600
600531,34800,34800
600804,21100,21100
600895,10600,10600
601238,1000,1000
601919,12000,12000
688011,3600,3600
688015,4800,4800
688021,2600,2600
688068,5000,5000
688108,1000,1000
688116,4593,4593
688138,7400,7400
688288,4800,4800
688389,9600,9600
